2017-02-26 11:46:04,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:05,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:05,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:06,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:06,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:07,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:07,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:08,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:08,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:09,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:09,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:10,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:10,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:11,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:11,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:12,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:46:12,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:46:13,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:13,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:14,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:14,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:15,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:15,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:46:16,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:46:16,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:17,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:17,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:18,311 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:18,805 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:19,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:19,808 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:20,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:20,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:21,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:21,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:22,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:22,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:46:23,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:23,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:46:20,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.05, 'heading': 0.0}
2017-02-26 11:46:21,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:21,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.04, 'heading': 0.0}
2017-02-26 11:46:22,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:46:22,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:46:23,312 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:46:23,812 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
